Date;Close;;;;;;
26/02/2018;294.16;;;;;;
23/02/2018;285.93;;;;;;
22/02/2018;278.14;;;;;;
21/02/2018;281.04;;;;;;
20/02/2018;278.55;;;;;;
16/02/2018;278.52;;;;;;
15/02/2018;280.27;;;;;;
14/02/2018;266.00;;;;;;
13/02/2018;258.27;;;;;;
12/02/2018;257.95;;;;;;
09/02/2018;249.47;;;;;;
08/02/2018;250.10;;;;;;
07/02/2018;264.56;;;;;;
06/02/2018;265.72;;;;;;
05/02/2018;254.26;;;;;;
02/02/2018;267.43;;;;;;
01/02/2018;265.07;;;;;;
31/01/2018;270.30;;;;;;
30/01/2018;278.80;;;;;;
29/01/2018;284.59;;;;;;
26/01/2018;274.60;;;;;;
25/01/2018;269.70;;;;;;
24/01/2018;261.30;;;;;;
23/01/2018;250.29;;;;;;
22/01/2018;227.58;;;;;;
19/01/2018;220.46;;;;;;
18/01/2018;220.33;;;;;;
17/01/2018;217.50;;;;;;
16/01/2018;221.53;;;;;;
12/01/2018;221.23;;;;;;
11/01/2018;217.24;;;;;;
10/01/2018;212.52;;;;;;
09/01/2018;209.31;;;;;;
08/01/2018;212.05;;;;;;
05/01/2018;209.99;;;;;;
04/01/2018;205.63;;;;;;
03/01/2018;205.05;;;;;;
02/01/2018;201.07;;;;;;
29/12/2017;191.96;;;;;;
28/12/2017;192.71;;;;;;
27/12/2017;186.24;;;;;;
26/12/2017;187.76;;;;;;
22/12/2017;189.94;;;;;;
21/12/2017;188.62;;;;;;
20/12/2017;188.82;;;;;;
19/12/2017;187.02;;;;;;
18/12/2017;190.42;;;;;;
15/12/2017;190.12;;;;;;
14/12/2017;189.56;;;;;;
13/12/2017;187.86;;;;;;
12/12/2017;185.73;;;;;;
11/12/2017;186.22;;;;;;
08/12/2017;188.54;;;;;;
07/12/2017;185.20;;;;;;
06/12/2017;185.30;;;;;;
05/12/2017;184.21;;;;;;
04/12/2017;184.04;;;;;;
01/12/2017;186.82;;;;;;
30/11/2017;187.58;;;;;;
29/11/2017;188.15;;;;;;
28/11/2017;199.18;;;;;;
27/11/2017;195.05;;;;;;
24/11/2017;195.75;;;;;;
22/11/2017;196.32;;;;;;
21/11/2017;196.23;;;;;;
20/11/2017;194.10;;;;;;
17/11/2017;193.20;;;;;;
16/11/2017;195.51;;;;;;
15/11/2017;192.12;;;;;;
14/11/2017;195.71;;;;;;
13/11/2017;195.08;;;;;;
10/11/2017;192.02;;;;;;
09/11/2017;193.90;;;;;;
08/11/2017;196.44;;;;;;
07/11/2017;195.89;;;;;;
06/11/2017;200.13;;;;;;
03/11/2017;200.01;;;;;;
02/11/2017;199.32;;;;;;
01/11/2017;198.00;;;;;;
31/10/2017;196.43;;;;;;
30/10/2017;198.37;;;;;;
27/10/2017;199.54;;;;;;
26/10/2017;195.21;;;;;;
25/10/2017;193.77;;;;;;
24/10/2017;196.02;;;;;;
23/10/2017;192.47;;;;;;
20/10/2017;194.16;;;;;;
19/10/2017;195.13;;;;;;
18/10/2017;195.54;;;;;;
17/10/2017;199.48;;;;;;
16/10/2017;202.68;;;;;;
13/10/2017;199.49;;;;;;
12/10/2017;195.86;;;;;;
11/10/2017;194.95;;;;;;
10/10/2017;195.08;;;;;;
09/10/2017;196.87;;;;;;
06/10/2017;198.02;;;;;;
05/10/2017;194.39;;;;;;
04/10/2017;184.45;;;;;;
03/10/2017;179.19;;;;;;
02/10/2017;177.01;;;;;;
29/09/2017;181.35;;;;;;
28/09/2017;180.70;;;;;;
27/09/2017;181.97;;;;;;
26/09/2017;179.38;;;;;;
25/09/2017;178.55;;;;;;
22/09/2017;187.35;;;;;;
21/09/2017;188.78;;;;;;
20/09/2017;185.51;;;;;;
19/09/2017;185.68;;;;;;
18/09/2017;184.62;;;;;;
15/09/2017;182.35;;;;;;
14/09/2017;182.63;;;;;;
13/09/2017;183.64;;;;;;
12/09/2017;185.15;;;;;;
11/09/2017;181.74;;;;;;
08/09/2017;176.42;;;;;;
07/09/2017;179.00;;;;;;
06/09/2017;179.25;;;;;;
05/09/2017;174.52;;;;;;
01/09/2017;174.74;;;;;;
31/08/2017;174.71;;;;;;
30/08/2017;174.69;;;;;;
29/08/2017;168.81;;;;;;
28/08/2017;167.12;;;;;;
25/08/2017;165.95;;;;;;
24/08/2017;168.13;;;;;;
23/08/2017;169.06;;;;;;
22/08/2017;169.34;;;;;;
21/08/2017;166.76;;;;;;
18/08/2017;166.54;;;;;;
17/08/2017;166.09;;;;;;
16/08/2017;169.98;;;;;;
15/08/2017;168.50;;;;;;
14/08/2017;171.00;;;;;;
11/08/2017;171.40;;;;;;
10/08/2017;169.14;;;;;;
09/08/2017;175.78;;;;;;
08/08/2017;178.36;;;;;;
07/08/2017;181.33;;;;;;
04/08/2017;180.27;;;;;;
03/08/2017;179.23;;;;;;
02/08/2017;180.74;;;;;;
01/08/2017;182.03;;;;;;
31/07/2017;181.66;;;;;;
28/07/2017;184.04;;;;;;
27/07/2017;182.68;;;;;;
26/07/2017;189.08;;;;;;
25/07/2017;186.97;;;;;;
24/07/2017;187.91;;;;;;
21/07/2017;188.54;;;;;;
20/07/2017;183.60;;;;;;
19/07/2017;183.86;;;;;;
18/07/2017;183.60;;;;;;
17/07/2017;161.70;;;;;;
14/07/2017;161.12;;;;;;
13/07/2017;158.21;;;;;;
12/07/2017;158.75;;;;;;
11/07/2017;154.33;;;;;;
10/07/2017;152.67;;;;;;
07/07/2017;150.18;;;;;;
06/07/2017;146.25;;;;;;
05/07/2017;147.61;;;;;;
